Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
None,None,None,None,None,None,None,None,None,2,209066.0,179.688920465,-683.439593125,288.209335252,486.303535165,-353.293936283,-449.498724862,-47.4964454944
None,None,None,None,None,None,None,None,None,2,209066.0,179.84373682,597.241962261,287.24343782,-70.6989941281,-290.470409909,222.298340232,29.6556505434
None,None,None,None,None,None,None,None,None,2,209066.0,178.526612133,166.56688574,263.066101218,980.044850875,-326.630492023,-541.334395058,5.41680164145
None,None,None,None,None,None,None,None,None,2,209066.0,178.409988622,-78.3517159193,242.394583874,441.856882754,-379.373984404,-307.037874413,28.8228312784
None,None,None,None,None,None,None,None,None,2,209066.0,179.173373884,-304.017359991,256.949609733,-352.59566246,-384.964298329,552.132848494,45.4550906448
None,None,None,None,None,None,None,None,None,2,209066.0,178.30227774,-890.728687954,187.57294796,278.14713976,-388.769514228,-791.132090981,37.6216297643
None,None,None,None,None,None,None,None,None,2,209066.0,179.211587006,998.60317991,207.136970173,13.9814920624,-365.52504516,-4.15126596058,7.59117145134
None,None,None,None,None,None,None,None,None,2,209066.0,178.277958346,236.768965662,151.23603835,960.651589162,-240.124905813,383.969124993,31.007953942
None,None,None,None,None,None,None,None,None,2,209066.0,178.33693433,324.327742823,276.612450887,887.358877889,-290.967267849,-330.41074416,-13.0937778111
None,None,None,None,None,None,None,None,None,2,209066.0,178.730147416,-550.733491917,274.115235404,313.310398699,-262.401778437,-802.372868628,32.0250116289
None,None,None,None,None,None,None,None,None,2,209066.0,179.968276079,-351.453143153,270.721887921,630.09957359,-281.045827957,-643.16036377,-39.1685774897
None,None,None,None,None,None,None,None,None,2,209066.0,179.187449476,164.311797149,196.929237281,477.460311608,-330.828528339,259.72243703,35.7844636783
None,None,None,None,None,None,None,None,None,2,209066.0,179.301738213,165.472574586,271.958027687,-173.813176247,-262.120055413,723.077652842,17.8263212739
None,None,None,None,None,None,None,None,None,2,209066.0,179.455681621,-291.643192465,151.799958049,944.257076673,-273.240616735,-763.659969432,-31.8086351921
None,None,None,None,None,None,None,None,None,2,209066.0,178.518632857,496.952494518,223.57025238,395.912136194,-239.664367771,-75.003865404,-26.107143504
None,None,None,None,None,None,None,None,None,2,209066.0,179.572883697,-377.63773339,212.220618142,-977.585064748,-249.001892162,300.939640373,-39.8413165117
