Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
1160.69971812,891.449903373,1978.3491213,377360883211.0,0,65585527767.8,131345009281.0,180430346162.0,6277.425472843556,3,235066.0,179.381494198,-702.207905316,268.668811407,-168.740948724,-177.748078141,180.108824574,22.9359341657
1320.59280489,895.182452668,2073.34853204,382359171354.0,0,65530466818.6,133900551102.0,182928153433.0,6277.425472843556,3,235066.0,178.885536085,-538.739009768,280.805312565,-373.490549828,-310.072501054,646.306103047,12.7497633198
1304.20882342,868.523969641,2072.58938751,382329549971.0,0,65624576631.8,133759424264.0,182945549075.0,6277.425472843556,3,235066.0,179.993023782,-151.306397561,178.420530884,-626.587556178,-228.607974119,643.992833218,-27.4914688211
1148.65309521,1040.1378036,2043.35085517,376946575063.0,0,65540930769.9,131173602628.0,180232041665.0,6277.425472843556,3,235066.0,179.067415173,-779.162096108,254.958689054,542.570472237,-286.377503188,-107.995745569,-22.6455807136
1152.09094724,890.188460796,1970.75570657,376975527240.0,0,65598763285.8,131133344022.0,180243419932.0,6277.425472843556,3,235066.0,179.547924598,-218.186276634,264.453201407,-182.018767481,-304.535773065,54.5715582988,-45.8443620343
1170.36898259,887.696051855,2003.84282881,387380793481.0,1,65630571360.3,136292851239.0,185457370882.0,6277.425472843556,3,235066.0,179.924937044,628.27008749,228.45393242,512.88776111,-177.296761839,879.611202674,-49.0495193747
1141.01081129,1061.88581812,2051.7629864,382116064125.0,0,65417046326.7,133870513328.0,182828504471.0,6277.425472843556,3,235066.0,178.075525402,643.352528832,216.510114692,44.8336394364,-213.805112408,618.271824747,-31.7217161388
1288.87897446,961.845974852,2193.52777046,389113689356.0,2,65506578066.2,137312608216.0,186294503074.0,6277.425472843556,3,235066.0,178.578306297,363.521210253,265.518377963,-840.099383894,-218.077440661,963.463828861,49.0054102901
1150.0961064,889.28120072,1970.0,376844682043.0,0,65467766702.6,131197907421.0,180179007919.0,6277.425472843556,3,235066.0,178.4030484,-333.708914338,261.382964162,-748.841888168,-217.916842811,-16.0233257135,-35.3486023871
1368.69923268,877.66038854,2109.9881118,384240439471.0,0,65410564192.6,134939787205.0,183890088074.0,6277.425472843556,3,235066.0,178.012530607,-836.363590501,218.60411161,-312.079959047,-343.461131037,755.744554674,-24.6693907756
1269.27472763,885.855489745,2032.62314611,380736565584.0,0,65502573334.4,133103987660.0,182130004590.0,6277.425472843556,3,235066.0,178.755517038,-918.039237711,245.621447736,43.7041545299,-333.174141548,544.360577749,-26.4308228172
1151.30384183,923.05373525,1973.50780366,377058340918.0,0,65442121704.5,131320615166.0,180295604048.0,6277.425472843556,3,235066.0,178.262301515,281.945523561,223.684867397,-442.68815549,-299.687693281,116.730416882,14.3896100475
1134.90039294,1147.37566868,2147.57618892,386798939634.0,1,65443774616.9,136168930981.0,185186234036.0,6277.425472843556,3,235066.0,178.45711319,755.213758867,153.698092013,-295.232577067,-290.589888634,855.092677569,-24.0381485008
1142.89281601,879.945446541,1970.0,376904724868.0,0,65571941281.0,131113194111.0,180219589476.0,6277.425472843556,3,235066.0,179.414263042,-210.44714241,227.60489645,-685.654146998,-268.521045408,-350.436990259,-21.1604561998
1470.89147769,916.384205175,2109.30247496,387911745645.0,2,65484655606.6,136741769423.0,185685320615.0,6277.425472843556,3,235066.0,178.311502989,-380.951308181,299.571228719,165.882761061,-195.506922642,918.453873143,43.5161134817
1497.67589888,946.97808702,2063.62043783,389145901485.0,2,65457882302.7,137345071292.0,186342947890.0,6277.425472843556,3,235066.0,178.433566636,-622.681961934,217.675254862,356.209181124,-329.19167189,970.719935438,2.41749074056
