AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize
0.085115226,1.75679526,16.03162277,2.624209439,None,100,3.913431316,2,209066,61.74386881,248.7843172
0.085115246,1.756798535,16.03162429,7.896352094,None,100,4.530059975,2,209066,460.7399404,749.3263771
0.08511529,1.756795123,16.03162366,2.809873361,None,100,4.442537426,2,209066,377.8618628,266.8663003
0.085115218,1.756797015,16.03162268,7.393419631,None,100,3.980428343,2,209066,89.64924671,701.8272924
0.085115269,1.756803157,16.0316239,1.545496441,None,100,4.433700339,2,209066,369.9293909,145.7314434
0.085115341,1.756797804,16.03162392,8.00094091,None,100,4.318202833,2,209066,281.2403021,759.4795923
0.085115295,1.756796237,16.03162266,3.392260244,None,100,4.262736848,2,209066,241.8270381,322.2139142
0.085115159,1.756798196,16.03162596,8.058784751,None,100,4.431432919,2,209066,370.3526924,765.7540182
0.085115216,1.756804272,16.03162299,2.365937209,None,100,4.359697211,2,209066,310.6298398,224.7015991
0.085115224,1.756796132,16.03162327,1.927196071,None,100,4.489340315,2,209066,419.0888665,183.0345005
0.085115252,1.756798487,16.03162265,3.890123672,None,100,4.175944141,2,209066,187.7958845,368.6774319
0.085115297,1.756795221,16.03162286,6.684603211,None,100,4.297084106,2,209066,265.902496,635.1198392
0.085115116,1.756795552,16.03162326,2.177849298,None,100,4.50683737,2,209066,435.4335144,206.7280111
0.085115262,1.756797519,16.03162507,7.219083849,None,100,4.410631355,2,209066,352.564638,685.738261
0.085115249,1.756795816,16.03162421,1.337981731,None,100,4.469470503,2,209066,400.9414022,127.0735965
0.085115234,1.756796992,16.031623,3.383158191,None,100,4.455755397,2,209066,389.6075442,321.3160002
0.085115289,1.756799853,16.03162312,8.536249471,None,100,4.020967841,2,209066,107.7386355,810.6971613
0.085115172,1.756796305,16.03162373,5.016701749,None,100,4.555785084,2,209066,484.881778,476.4573743
0.08511523,1.7567984,16.0316226,0.578966634,None,100,4.422472334,2,209066,360.2743552,55.00748051
0.085115228,1.756803282,16.03162371,2.224018358,None,100,4.413426651,2,209066,353.2307951,211.1577698
0.085115278,1.75679467,16.03162396,7.058439532,None,100,4.341172745,2,209066,297.9362665,670.0208235
0.085115323,1.756798571,16.03162386,9.010510846,None,100,4.476851758,2,209066,410.922974,855.601519
0.085115309,1.75679719,16.03162263,1.308594207,None,100,4.051075725,2,209066,121.3305303,124.2815344
0.08511519,1.756801293,16.0316235,5.627297694,None,100,4.277217501,2,209066,251.9586241,534.4116124
0.085115255,1.756800406,16.03162341,5.918502691,None,100,4.535669934,2,209066,465.107697,562.1039081
0.085115219,1.756793216,16.03162266,5.655815628,None,100,4.141942454,2,209066,168.6724628,537.1563059
0.085115264,1.756797,16.03162326,7.857721111,None,100,4.281203091,2,209066,255.1572441,745.496885
0.085115227,1.756797564,16.03162377,3.862255375,None,100,4.34226258,2,209066,297.8638934,366.7014049
0.085115141,1.756796389,16.0316238,6.77327113,None,100,4.40902997,2,209066,351.1306773,643.2823733
0.085115359,1.756796212,16.0316226,1.729360925,None,100,4.152420204,2,209066,174.0205447,164.2448708
0.085115269,1.756795733,16.03162444,2.315285755,None,100,4.261506571,2,209066,240.7767286,218.0586449
0.085115239,1.756798898,16.03162271,2.154046174,None,100,4.32909253,2,209066,287.7510084,204.6641547
0.085115234,1.756799968,16.0316226,2.150990564,None,100,3.954848761,2,209066,78.57897463,204.2783063
0.085115326,1.756795637,16.03162345,9.35502357,None,100,4.526312846,2,209066,457.940613,888.4835999
0.085115287,1.756800172,16.03162269,5.090415586,None,100,4.087431102,2,209066,139.5743556,483.4517622
0.085115281,1.756796464,16.03162336,4.084314555,None,100,4.273444737,2,209066,249.0790207,387.9046608
0.085115274,1.756796925,16.0316227,10.14675108,None,100,3.981793105,2,209066,90.41468339,962.6675954
0.085115311,1.75679679,16.03162388,9.489528734,None,100,4.440589575,2,209066,378.8391161,900.8859349
0.085115257,1.756796998,16.03162273,6.892536436,None,100,4.031258828,2,209066,112.351318,654.6113262
0.085115278,1.756795796,16.03162366,2.16758954,None,100,4.546123178,2,209066,473.4457203,205.8662109
0.085115265,1.75679811,16.03162266,8.174173156,None,100,4.058365652,2,209066,125.4077399,775.902817
0.085115243,1.756796182,16.03162371,2.787460128,None,100,4.528936302,2,209066,456.8971358,264.7366984
0.085115256,1.756795064,16.03162282,7.429218501,None,100,4.046345833,2,209066,119.5263183,705.5786769
0.085115215,1.75679664,16.03162358,0.774141831,None,100,4.285705799,2,209066,256.7980645,73.5420626
0.085115224,1.756799759,16.03162344,5.918804984,None,100,4.28798359,2,209066,259.4280831,561.7936296
0.085115215,1.756796934,16.03162258,1.196015601,None,100,4.151490657,2,209066,173.4663218,113.5858349
0.085115299,1.756799564,16.0316242,9.880675182,None,100,4.562352782,2,209066,494.6682847,938.3308746
0.085115294,1.756798796,16.03162282,7.95315741,None,100,4.163329106,2,209066,181.0052857,750.9827355
