AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize,ixx
0.085115285,1.756796994,16.03162287,52.64601545,None,100,4.205879424,2,209066,218.6426958,822.1407715,1.769938121
0.085115227,1.756797846,16.0316228,52.64607396,None,100,0.052116163,2,209066,69.10475274,339.8689162,1.806609095
0.085115239,1.756799262,16.03162331,52.62325205,None,100,4.252919727,2,209066,251.5611899,761.2886329,1.554143117
0.085115235,1.756798578,16.03162296,52.6421603,None,100,3.565928393,2,209066,100.0464532,705.6597681,1.7479692
0.085115287,1.756797082,16.03162344,52.63507034,None,100,4.469062534,2,209066,439.6805339,957.1321784,1.922575084
0.085115313,1.756794109,16.03162279,52.64812981,None,100,4.24664909,2,209066,247.0017601,517.2711449,1.395479956
0.08511536,1.756793867,16.03162274,52.64582032,None,100,2.600164618,2,209066,87.91243994,403.8287205,1.423179999
0.085115262,1.756799511,16.03162332,52.64341029,None,100,4.414050108,2,209066,385.1955864,93.18302459,1.262633124
0.08511528,1.7567953,16.03162271,52.64623689,None,100,4.195616859,2,209066,211.7171099,724.0225097,1.615000321
0.085115301,1.7567969,16.03162277,52.64582456,None,100,4.207357907,2,209066,219.620223,467.4697777,1.910261076
0.085115309,1.756795477,16.03162306,52.64574605,None,100,4.470322206,2,209066,440.9925341,331.1785477,1.479208735
0.085115246,1.756795778,16.03162416,52.64573424,None,100,4.445160313,2,209066,415.4452118,454.7738995,1.164221187
0.085115247,1.756799169,16.03162279,52.64633299,None,100,4.302125138,2,209066,288.8305622,121.8616873,1.797284193
0.085115353,1.756795614,16.03162269,52.6459842,None,100,4.060277362,2,209066,132.116236,229.1307179,1.187942038
0.085115267,1.756794695,16.03162372,52.6364101,None,100,4.435032895,2,209066,405.3446859,848.6394143,1.509516497
0.085115321,1.756796337,16.03162343,52.65273385,None,100,4.479452982,2,209066,450.6173436,915.8913816,1.779090868
0.085115371,1.756796103,16.03162281,52.64596202,None,100,3.998303853,2,209066,110.0092808,325.2553354,1.758327024
0.085115243,1.756793279,16.03162279,52.64615969,None,100,4.020670069,2,209066,112.3296604,270.7870706,1.840315847
0.085115281,1.756798839,16.03162281,52.64351272,None,100,4.089024264,2,209066,147.4069024,319.1040799,0.887252794
0.085115259,1.75679837,16.03162298,52.62450563,None,100,4.40503195,2,209066,376.7388868,727.0542272,1.358219109
0.085115384,1.756803435,16.03162399,52.64577465,None,100,4.46893284,2,209066,439.6517488,278.6875253,1.85129224
0.085115309,1.756797139,27.02979503,52.69403136,None,100,4.334872507,3,235066,204.086087,593.2225066,0.943788355
0.085115231,1.756795491,27.02979506,52.62681026,None,100,4.214086585,3,235066,76.97887688,92.65443687,1.793650068
0.085115207,1.756795922,27.02979755,52.64577274,None,100,4.504600787,3,235066,360.0028245,693.9733031,1.051877924
0.085115351,1.756799554,27.02979512,52.65336979,None,100,4.450748476,3,235066,309.4605192,231.014758,1.052658354
0.08511521,1.756796486,27.02979542,52.64588271,None,100,4.483181876,3,235066,339.6859461,847.4574173,1.861260861
0.085115258,1.756800028,27.02979606,52.62848281,None,100,4.518513205,3,235066,373.4027333,413.3807931,1.9767765
0.085115273,1.75679568,27.02979576,52.62512589,None,100,4.44039304,3,235066,299.906086,235.2980853,1.363177053
0.085115293,1.756795686,27.02979509,52.64730802,None,100,4.328393358,3,235066,198.1962847,171.9672489,0.976933271
0.085115254,1.756796487,27.02979501,52.64703142,None,100,4.241112221,3,235066,112.7741907,757.4658302,1.315081999
0.085115221,1.756796056,27.02979624,52.64594799,None,100,4.505739444,3,235066,361.121575,467.2224048,1.753987012
0.085115246,1.756799942,27.02979501,52.64635453,None,100,4.315097356,3,235066,185.9630329,826.9191439,0.925171837
0.085115192,1.756795475,27.02979511,52.64570345,None,100,4.369261542,3,235066,235.2011072,856.5349473,0.872408724
0.085115317,1.756795331,27.02979553,52.6458483,None,100,4.436902621,3,235066,296.6879662,902.6272934,1.621669182
0.085115263,1.756796114,27.0297958,52.64612145,None,100,4.580985993,3,235066,435.0076689,484.1791113,0.967090937
0.085115251,1.756803946,27.02979719,52.64452861,None,100,4.62815725,3,235066,483.5527846,958.8260922,1.84047414
0.08511528,1.756796766,27.02979532,52.63322976,None,100,4.215553769,3,235066,79.3640187,60.03910353,1.262699364
0.085115266,1.756798886,27.02979548,52.64410512,None,100,4.530401326,3,235066,384.9460915,955.6690605,1.807281972
0.085115219,1.756800912,27.0297951,52.64651478,None,100,4.326968394,3,235066,196.8938594,307.80134,1.761155396
0.085115277,1.756799817,27.0297953,52.64626443,None,100,4.277751127,3,235066,150.6940874,384.4778614,1.307663368
0.085115206,1.75679572,27.02979772,52.66001849,None,100,4.473080429,3,235066,330.2148958,183.8942008,1.310353108
0.085115183,1.75679672,27.02979513,52.62490253,None,100,4.385190791,3,235066,249.5643999,235.4031129,1.142848848
0.085115267,1.756802361,27.02979589,52.64613146,None,100,4.410243156,3,235066,272.247261,274.6202836,1.990099508
0.085115183,1.756796903,27.02979661,52.64596005,None,100,4.626445825,3,235066,481.6560962,617.3978323,1.173765091
0.085115278,1.756795408,27.02979648,52.6458017,None,100,4.599687863,3,235066,454.008987,473.8450984,1.924983573
0.085115301,1.756798113,27.0297983,52.6314311,None,100,4.243504787,3,235066,115.4704594,917.8577078,1.83797219
0.085115311,1.756797202,27.02979495,52.59496226,None,100,4.218676193,3,235066,84.20601592,635.1487326,1.89504866
0.085115229,1.756797966,27.02979592,52.78678694,None,100,4.426655843,3,235066,287.298102,573.6803417,1.282102293
0.085115203,1.75679644,27.02979787,52.64525897,None,100,4.595000985,3,235066,449.206336,430.3841901,0.916984969
0.085115209,1.75680289,27.02979514,52.64633753,None,100,4.245586127,3,235066,117.7848346,884.171742,1.182965647
0.085115238,1.75679546,27.02979605,52.64574356,None,100,4.204659655,3,235066,55.89012083,130.7438857,1.906574113
0.085115156,1.756796203,27.02979601,52.64913579,None,100,4.489846741,3,235066,346.0117651,408.4137685,1.458688499
0.085115237,1.75679686,27.02979515,52.64647138,None,100,4.406158427,3,235066,268.6294266,856.9328389,1.50922444
0.08511532,1.756795657,27.02979514,52.64582802,None,100,4.359145459,3,235066,226.0955538,329.7300729,1.974326326
0.08511516,1.756795673,27.02979626,52.64579229,None,100,4.639730331,3,235066,495.6105284,807.1814375,1.776581347
0.085115324,1.756796264,27.02979507,52.64605741,None,100,4.43585385,3,235066,295.7464855,352.6127001,1.854058326
0.085115201,1.756798378,27.02979697,52.77179761,None,100,4.483224794,3,235066,339.7547458,545.4955411,0.902381735
0.085115253,1.756798163,27.02979567,52.6410351,None,100,4.570665001,3,235066,424.7129648,189.7527743,1.183504643
0.085115078,1.756795515,27.02979778,52.64856535,None,100,4.568127134,3,235066,422.1219263,208.3551682,1.724216092
0.085115279,1.756791875,27.02979496,52.64600467,None,100,4.30881689,3,235066,180.2295932,764.2446521,1.371641724
0.085115192,1.756797093,27.02979501,52.62479124,None,100,4.326900296,3,235066,196.9094357,839.6705201,1.506778328
0.085115291,1.756795347,27.02979497,52.6457035,None,100,4.364306759,3,235066,230.7358895,428.9270698,1.018657449
