Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,PV_Panels,bomCost,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
1140.28443332,2041.1954148,1132.32946077,334182950838.0,1,60056850589.9,114890961897.0,159235138351.0,6035.239756344258,2,209066.0,158.864533435,369.775364176,47.8856494467,989.199179799,467.390291095,540.566921021,177.03220567
1136.09177219,1975.4061517,862.42534553,336496464806.0,2,59761812483.9,116370869896.0,160363782426.0,6035.239756344258,2,209066.0,155.710153114,885.833945935,44.9877924673,740.436656868,56.6969745328,773.564634484,198.93621416
1199.4372571,2033.27051163,952.500734535,319527440877.0,1,58625510963.9,109537721092.0,151364208821.0,6035.239756344258,2,209066.0,133.391954122,558.816272529,43.9554304333,372.238132294,431.184363852,867.577195894,342.144004855
1285.56025637,2096.74243529,859.679570271,326038307113.0,2,58423501467.9,112544140513.0,155070665132.0,6035.239756344258,2,209066.0,137.944558977,363.634737667,249.306734025,291.891027935,356.085962604,992.861299393,200.942421092
1319.59934157,1976.36270207,1088.13376507,324370049813.0,0,59001879454.2,110880212603.0,154487957755.0,6035.239756344258,2,209066.0,149.471405782,842.744685674,281.61795503,169.176793833,193.066355594,189.613903163,35.9299349387
1203.22708413,2073.35177357,1131.19508942,207958234684.0,1,59652448635.5,53328512135.3,94977273913.3,6035.239756344258,2,209066.0,56.9047262945,218.36882004,27.678981678,911.818881281,303.775600424,285.116507343,462.305444542
1259.79556984,2002.6128348,1043.6640526,173306575045.0,1,60592632458.8,35026205394.3,77687737191.8,6035.239756344258,2,209066.0,22.9226054136,275.606941742,231.867690111,865.630261578,95.4597111311,809.170082983,450.945877317
1139.46860802,2024.48638204,1036.29143519,304970325522.0,1,57880039631.3,102456357315.0,144633928576.0,6035.239756344258,2,209066.0,129.065039354,120.79541535,30.0719706964,712.349383917,68.3321446514,260.937486282,186.113339018
1136.60000726,2026.43944361,995.064188602,185979613680.0,0,59468323600.6,41861069216.5,84650220863.3,6035.239756344258,2,209066.0,42.2739297666,39.0988069466,132.889284177,496.277325842,375.04737572,23.9055052348,325.83679022
1469.26274109,2144.00398226,866.919239768,246659375561.0,2,58419110182.0,73510115411.4,114730149968.0,6035.239756344258,2,209066.0,84.3823874806,950.563267158,230.679099578,817.597954506,124.052677377,11.6337856716,381.491669224
1173.98622821,2017.99374126,1092.40931668,164576236285.0,0,60115882150.6,30579314502.5,73881039631.8,6035.239756344258,2,209066.0,18.3463735273,864.07009886,101.353553074,189.352979333,226.313241715,610.370150013,345.238771958
1251.06391324,2064.28396132,856.861812749,346140836145.0,0,62683244898.4,119524057517.0,163933533730.0,6035.239756344258,2,209066.0,170.178962823,323.731728074,148.430243691,339.316834806,41.3355631677,769.209263023,483.558101188
