Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CfgID,CompX,CompZ,D_CtrlGain,Dist_1_2,Dist_1_3,Dist_2_3,GUID,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxGyroTemp,MaxTemperature,MinBatteryCharge,MinBusVoltage,P_CtrlGain,PV_Panels
179.401509069,0.00211604299897,647.294605077,180.382105839,237.993126062,224066.0,cfg1,700.593064923,84.1590048751,1.97463955877,1968.6022233,1269.13302234,846.631194082,37440b4f-625b-42d8-a3d1-e02485122734,2015.60026161,208.54831437,57.6139538129,329299.898898,1,57655.0104836,114617.297576,157027.590837,5658.457675335605,0.0744242368494,17.4786957528,1.3055727893,904.686999687,395.65752864,100,15.9020880643,0.66256446364,2
179.37377127,0.00808127550811,255.038230906,930.4934784,73.9593349456,224066.0,cfg1,967.86073777,52.2335850653,0.743688647713,2141.30601334,1515.07278893,651.435584138,8b8f35ca-ebed-4165-9c39-602ea2cc4c48,2854.25292872,420.310255325,369.180472998,341228.274127,1,62682.1546058,116370.488247,162175.631275,5719.382846120038,0.232602401039,17.2057628442,2.71958952553,754.796182253,353.32791511,100,15.4262396111,2.46664636668,2
179.647337403,6.21626964087e-05,286.229984692,370.433390623,225.829066458,224066.0,cfg1,830.599740339,397.376128559,1.07611942853,1895.02948406,1323.45804635,814.666474041,7411c786-9505-4dda-8ced-6caa3a9bb48e,1902.19426976,840.84580349,223.765740255,336708.211917,2,57443.4751852,118832.478436,160432.258295,5650.219128327726,0.00615853064587,17.2457908438,0.149415685335,434.329144189,304.61635795,100,15.58579105,0.997390515557,2
179.280947276,0.00206759407503,338.955111527,909.264276443,158.181381277,224066.0,cfg1,452.094650965,422.733602355,1.12190086762,2050.97459479,1336.16836393,837.551159116,eb6e8a13-8067-4990-b767-aabb6ab6df88,2496.23134911,890.642485725,158.492366928,343412.709854,2,60169.7202522,119312.99789,163929.991711,5693.3738357901075,0.0597355473632,17.3017497218,0.936753517391,538.574447986,321.44738289,100,15.6731905486,1.3788702197,2
179.022390948,0.00276367357013,403.523035044,35.1685307858,107.833838783,224066.0,cfg1,568.736706984,86.8309795536,0.133971941696,1868.72552248,1378.91403741,841.211102368,d3162550-ae79-490b-ae5b-582bc8db4376,1614.65282036,667.840291249,403.046676856,331933.01581,0,56626.6056441,117897.868977,157408.54119,5629.330251919318,0.118758165711,17.355480656,1.75273173502,583.676305218,288.247403764,100,15.7883369685,0.536448425664,2
179.165602398,0.00282767088977,704.395841795,911.024122554,98.717710386,224066.0,cfg1,127.608163492,257.644711227,0.126908148058,2191.19394485,1431.13360036,1030.29042338,0ceae4bb-48b4-4360-8985-35a1049646e4,2988.17810661,851.462269084,282.531697197,348387.959658,3,63020.3858443,119278.774943,166088.798871,5729.112039926896,0.12061636324,17.4973040622,1.97595278326,636.375767752,301.709859783,100,15.9852375522,0.524763143531,2
179.989310995,0.0077780123556,323.48062711,942.621280516,129.772257055,224066.0,cfg1,268.287245269,429.467968183,0.613260825704,1853.03550335,1489.02407578,983.383907922,93935317-e15f-4276-a080-347821601d0e,1608.73216543,64.1600543584,313.795679485,326357.31483,0,56382.4519606,114997.109011,154977.753858,5628.9001371334225,0.224048968703,17.2866248851,2.25467496914,669.061504424,339.251670638,100,15.6276134767,2.40846382673,2
179.185472913,0.00760420657731,494.05394636,171.374050042,173.348971261,224066.0,cfg1,754.821352078,256.646268784,1.39658244497,1876.681152,1378.10015098,877.410504854,734896a6-f37c-450e-8f27-80197b503bed,1794.07728112,809.512768548,96.2347700822,334389.724115,1,56599.0694629,118256.601284,159534.053368,5642.36480882671,0.219579706709,17.4122824067,3.08488521769,795.462409776,349.849081259,100,15.8148243707,2.39302376423,2
179.109893923,0.00617755168615,459.93009772,743.116116278,195.361822872,224066.0,cfg1,827.028707105,404.053502134,1.4501376301,1993.50358127,1361.45605409,687.817955489,3af51dde-8f44-429a-afc9-b788ff20752b,2430.34729981,560.229265368,449.008413411,339143.375785,1,60880.9987134,117534.994546,160727.382525,5688.587591003724,0.181397787395,17.3929046224,2.82087637973,817.758410557,357.961341375,100,15.7821308827,2.12985835613,2
179.900250232,0.00925593105424,675.822374759,963.14356686,299.545096684,224066.0,cfg1,576.786997374,145.871088058,2.61158135769,1966.40320976,1532.8895754,771.613309704,de8d3719-d5d9-4169-847a-051a099f7ff3,1905.63897002,59.3821198458,335.543163153,329371.467461,0,57861.1606523,115110.640932,156399.665877,5650.469373702641,0.326565876708,17.4883180079,4.98033773331,1383.37944684,425.235444147,100,15.7437719139,2.63343629396,2
