PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
4,249066.0,2006.80484319,1136.33813248,892.177394535,414668618987.0,0,67626916491.3,149583756907.0,197457945588.0,6525.486389342852,6.09668715755e-09,2.11042888276e-07,38.0279733734,0.00294832983119,None,100,4.5548834176,155.567499647,351.564872891,263.68841672,264.092279393,30.6920782058,402.631838933,0.649481799033,0.964203264717,316.767120192,412.86189335,384.970834952
4,249066.0,1996.8839284,1157.93303268,1017.78553488,262222617025.0,2,63530635849.9,77193857248.4,121498123927.0,6525.486389342852,2.90327889762e-09,1.0045920984e-07,38.0279815524,0.0169710693212,None,100,4.51939294298,57.8620965699,311.509648152,962.317778168,59.0319657457,571.510799066,459.852748759,0.14131525347,0.231489329894,625.410514837,875.20150696,339.780364601
4,249066.0,1999.55346651,1287.83066913,946.125593465,308919368282.0,0,63981189233.9,100149055021.0,144789124027.0,6525.486389342852,6.20126663196e-09,2.14850824576e-07,38.0279904801,0.00193676214149,None,100,4.39148729012,82.1030143183,118.280792574,183.970914446,107.039016841,439.016733298,435.071437336,0.167733616731,0.413261243332,294.444555524,771.027071068,350.909681984
4,249066.0,2101.82268488,1243.5212035,949.911554677,418199360152.0,1,68016810055.6,150041646281.0,200140903815.0,6525.486389342852,2.49532962578e-08,8.64972712233e-07,38.0279707141,0.000506497206164,None,100,4.39724067126,171.439089924,135.652686985,723.204040923,51.9028156878,853.067112635,455.595203917,0.953591093738,0.829339662707,77.7267864293,190.578192895,142.758137887
4,249066.0,1985.95785827,1271.06938625,1055.89871166,231284088927.0,0,63383565618.9,61849861488.5,106050661820.0,6525.486389342852,1.02167899958e-08,5.99898592801e-07,38.0279845597,25.5997293686,None,100,0.378276366072,45.024393815,56.1105588228,35.5115305613,204.790369324,650.186263546,83.9720680972,0.793629826322,0.515630949172,795.259212049,622.537616976,333.700254662
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,70.7200646051,497.844146005,888.31092572,270.972115444,671.735283128,29.7363293551,0.445695280403,0.885645130132,368.53096409,153.829475064,269.753033219
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95.9410837346,314.205870118,603.918161765,160.1865666,755.80659606,297.466663411,0.105916653229,0.531138702019,464.973442832,849.817343709,125.512227135
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99.3430226944,154.269575772,765.062601063,122.727114072,454.606830076,146.392864996,0.578040748105,0.145156038569,361.998927264,888.01323772,230.793457887
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,100.655485196,146.162170042,222.006237873,190.976504813,295.663750896,458.921945368,0.661251518096,0.874937905348,100.99980731,987.349785116,117.87700614
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,66.6747061899,426.818969639,50.6015622315,29.1006844649,852.546676181,288.620384925,0.535941647674,0.943948833066,727.76974695,83.805801113,322.523701021
