AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize,PID_D,PID_I,PID_P,ixx
0.0851152111343,1.75680494661,16.0316227429,52.6980119123,None,100,4.30567296432,2,209066.0,291.584695245,536.546297288,-37.5245640159,-549.96107106,171.403862158,1.10802171897
0.0851153227895,1.75679616396,16.0316234428,52.646207979,None,100,4.21180783622,2,209066.0,222.570485434,880.249266021,-33.3910269163,288.017930751,283.045568143,1.08745774623
0.0851152335826,1.75679740216,16.0316231814,52.6462285376,None,100,4.45984598099,2,209066.0,430.158359265,417.859052099,14.6259248363,-34.4281283218,155.951305659,1.06414174519
0.0851152566994,1.75679471337,16.0316233972,52.6456857814,None,100,4.417597754,2,209066.0,388.611280749,571.893265322,-22.9054859233,-926.1148414,153.492574123,1.83931992203
0.0851153073194,1.75679519185,16.031623624,52.6477169027,None,100,4.49576268134,2,209066.0,467.960904806,447.286643733,-21.5772551432,277.166714591,221.428221538,0.830836981425
0.0851152987347,1.75679687188,16.031622861,52.6460478572,None,100,4.16118035195,2,209066.0,189.606340358,765.406726582,49.1888753184,-237.789129869,170.118581618,1.46908294925
0.0851153391754,1.75679642162,16.0316240892,52.6463298598,None,100,4.40017371232,2,209066.0,372.224946369,313.625735822,-42.8337154789,-523.361353861,216.078107515,0.928160285209
0.0851152925794,1.75679755103,16.0316227073,52.6440500698,None,100,4.25372115858,2,209066.0,252.154649139,363.661863202,19.125928753,43.2664915709,207.89425592,1.49672371361
0.0851153101855,1.75679516077,16.0316227935,52.6460990375,None,100,4.14383261271,2,209066.0,178.928193028,957.05903882,-27.0559279308,875.101997127,150.485656938,0.919855534611
0.0851152787056,1.7567997579,16.0316237219,52.8502944692,None,100,4.38590696368,2,209066.0,359.187013514,899.929316957,-5.83375449634,524.477350533,206.889390134,1.98907599457
0.0851152180959,1.75679735781,16.0316227964,52.6460873312,None,100,1.29256833325,2,209066.0,61.9203699292,486.086409915,0.642117495166,985.724659787,279.109763013,1.15646177714
0.0851152291831,1.75679541406,16.0316228165,52.6459711672,None,100,4.37347662508,2,209066.0,348.181239177,681.989438326,47.2685921403,737.363820096,223.990393946,1.38188199251
0.0851153317023,1.75680108228,16.0316238751,52.646191615,None,100,4.22181791692,2,209066.0,229.523439169,875.625762601,-12.4504623173,981.663520768,239.966109428,1.21914227699
0.0851152727838,1.75679735981,16.0316229102,52.6728136707,None,100,4.4316117804,2,209066.0,402.049862245,361.665955724,35.1555809337,827.635461692,160.947811138,0.858004967481
0.0851152539242,1.75679581098,16.0316227031,52.6458719805,None,100,4.16161717589,2,209066.0,189.879470196,285.34343145,-1.55969552456,-839.428800125,259.326613108,1.77370836209
0.0851153311154,1.7567956029,16.0316228137,52.6455063159,None,100,4.13692978461,2,209066.0,174.856267484,60.5663414015,-41.0898360059,556.863603158,206.69946099,1.08804884426
0.0851153120582,1.75679587687,16.031623894,52.6458876846,None,100,4.51778679676,2,209066.0,492.479163026,154.174234872,24.0552056571,-849.389738038,228.205473638,1.35100804487
0.0851152534616,1.75680138101,16.0316231783,52.6464293572,None,100,4.31929109033,2,209066.0,302.434486213,293.577195493,-35.43562427,-634.508797093,165.452954343,0.894109134151
