PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
3,235066,950.1683816,2036.585334,1131.421148,3.80721E+11,2,64238638243,1.35453E+11,1.81029E+11,6277.425473,155.0121527,265.1552169,826.8314553,256.041863,403.2120362,226.6047906,2.233507299,1.180816307,2.157187951,888.2366726,404.17428
3,235066,850.9997392,1978.320985,1128.861063,3.75862E+11,0,64784046668,1.31433E+11,1.79645E+11,6277.425473,171.7434464,202.8937287,201.666017,165.4137975,241.7029631,175.293025,2.516121678,2.080532566,3.219033526,78.48082249,96.47391127
3,235066,943.5458604,1998.570305,1123.359391,3.83107E+11,0,64411679704,1.35359E+11,1.83337E+11,6277.425473,168.8103955,103.0938191,849.7432888,5.671296295,607.730436,336.1384954,1.65394021,2.572116372,2.55280785,770.6470013,41.4497487
3,235066,850.6110087,2016.949164,1209.338958,3.81204E+11,0,65593735640,1.33274E+11,1.82336E+11,6277.425473,179.3153785,126.505794,222.4319416,299.3699901,226.5597676,267.4004871,1.316512109,2.35034338,2.163978711,567.0548787,0.479130759
3,235066,1013.453129,2066.887394,1139.031883,3.74894E+11,0,64452244753,1.31232E+11,1.7921E+11,6277.425473,169.0118804,235.357424,53.18691409,211.9700273,604.1078633,244.7320783,2.961562865,2.840027948,2.919890772,25.89217285,6.425315629
3,235066,871.7884195,1974.886487,1157.474031,3.74264E+11,1,62870613202,1.32524E+11,1.7887E+11,6277.425473,151.388768,128.8814094,664.9614958,280.6962567,824.5415919,170.9272204,1.559669917,1.362869909,0.679641949,818.5937727,32.21435314
3,235066,1071.012322,2053.362119,1127.752411,3.77772E+11,1,65269559933,1.32088E+11,1.80414E+11,6277.425473,174.5517537,239.1663215,268.1330442,59.48283445,749.8959759,498.1989979,2.340579159,0.566262371,0.50190471,258.8520072,191.1618481
3,235066,856.4324211,1978.597892,1139.724549,3.73668E+11,0,63782473275,1.31853E+11,1.78032E+11,6277.425473,155.8735987,177.0338269,467.8514681,107.9153891,408.0973125,193.9731186,0.338550763,2.857132898,1.559345104,560.4022746,297.6689023
3,235066,857.7697787,2001.193322,1189.023055,3.81802E+11,0,65451590322,1.35204E+11,1.81147E+11,6277.425473,163.7702086,172.0957191,341.031066,257.4186251,445.7906553,209.5185033,0.396961076,1.406383689,1.17493852,674.2994587,477.2094448
3,235066,905.1738929,2064.684977,1185.102799,3.81684E+11,0,65242186450,1.33815E+11,1.82627E+11,6277.425473,176.6378469,250.5774734,235.3217612,43.81450227,67.35237942,305.7802695,2.967646228,1.848524463,0.68772353,622.5903334,34.23861877
