PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,CtrlGain_D,CtrlGain_P,GyroSize,GyroX,GyroZ
3,235066.0,959.045466365,1992.4629795,1160.40503163,328828088747.0,0,60822425843.0,111813498641.0,156192164264.0,6277.425472843556,0.0045758338664,0.111493933202,27.029794687,0.0426623460558,0,100,4.86042066602,117.938496763,455.301979547,593.926967777,153.181007634,159.59085798,246.026849118,0.684912013228,0.498448857237,163.407447106,330.85795034,1.73950244214
3,235066.0,1015.60065212,1974.91252844,1207.76870895,191967025475.0,0,61387640999.3,44317715746.8,86261668728.4,6277.425472843556,0.00188543585968,0.0403918818469,27.0297961427,0.0118710192064,0,100,4.60247423983,33.6106928229,85.3691834374,712.452459499,151.758842547,255.830703874,468.683529002,0.978111641741,0.797849488154,121.953854574,394.958395655,473.477312238
3,235066.0,866.772359607,1986.10277955,1193.02283275,249846263365.0,0,60685848916.2,73281904004.4,115878510444.0,6277.425472843556,0.00446621952645,0.111074885352,27.0297950535,0.0596723872758,0,100,4.86307610685,69.0362434202,459.211030456,686.841914901,1.10775668063,564.862626841,119.071211461,0.537797515447,0.533197641779,348.263921097,482.350525357,357.600044199
3,235066.0,990.752586896,1972.66770779,1226.39619488,376719072982.0,1,63699700494.3,133518563510.0,179500808977.0,6277.425472843556,0.00544055412258,0.132643691752,27.0297946961,0.0540204144595,0,100,4.61626507136,154.226922731,101.232533463,294.659117153,263.387438524,799.710515499,200.033090049,0.619894092686,0.404453378862,624.781807949,792.784704378,302.355709756
3,235066.0,970.304778957,2031.09514583,1147.30291089,183048634223.0,0,60010568094.4,39847151339.8,83190914789.4,6277.425472843556,0.00609053220334,0.148076388729,27.0297950523,0.101818291744,0,100,4.849910528,29.0562564486,434.928143142,229.425220661,26.7128621514,105.473035022,477.963590396,0.180636375829,0.422703119247,414.711739556,456.071653156,129.35478331
3,235066.0,990.997525152,2055.01908395,1129.6479976,293054502268.0,1,60356533675.9,94611562953.4,138086405638.0,6277.425472843556,0.00240087634275,0.0807706562373,27.0297952726,0.0793313204646,0,100,4.76174924699,94.6744165296,313.037364731,471.818224732,51.5075217047,979.649278972,10.4744227808,0.332497238009,0.942679095046,920.303120326,423.068289676,190.532851458
3,235066.0,1081.47316981,2056.95363738,1127.54909714,342533545018.0,1,61299523309.6,118175827812.0,163058193897.0,6277.425472843556,0.0079148922532,0.195743289792,27.0297951076,0.096057745823,0,100,4.60129793406,128.471751567,75.2923037831,185.060903163,103.24784281,851.593947696,156.331904087,0.27112837189,0.158388146705,584.004983929,277.783741157,11.7631895687
3,235066.0,1098.91226699,1995.25876758,1261.45966316,317319749543.0,1,61814998974.5,106475338558.0,149029412010.0,6277.425472843556,0.000339018345535,0.00829133561437,27.029795269,0.00701515015914,0,100,4.64100427264,105.940826648,145.011818737,179.319091832,133.344865527,869.519142638,226.790359822,0.949359796215,0.969493500937,778.901312347,657.741728908,461.966627014
3,235066.0,860.200643442,2005.91320055,1169.47886212,332599626566.0,2,61473033907.3,113793376476.0,157333216183.0,6277.425472843556,0.00774152644562,0.191430226552,27.0297984906,0.113301490849,0,100,4.62302275512,115.558227865,106.197840898,963.704471508,114.567232209,890.244634487,4.80020927892,0.123860379823,0.213125828535,434.244549262,711.972983868,337.977319444
3,235066.0,855.081508126,1994.12539064,1143.44838033,373888212130.0,0,63934374542.4,131361661837.0,178592175751.0,6277.425472843556,0.00752526658816,0.183095100376,27.0297980481,0.0716138532007,0,100,4.76096661168,162.560106026,305.476532631,531.796693917,94.2407995144,589.947011267,21.5570590327,0.498772418063,0.172784110682,171.153539328,307.838334321,148.248684573
