PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,GyroSize,GyroX,GyroZ
2,209066.0,1183.899988,2014.28000675,964.091329778,249871715593.0,0,58613502343.1,75149791347.1,116108421903.0,6035.239756344258,0.0095859572155,0.238371921144,16.0316226994,0.124293309138,None,100,4.35714636551,85.8781051556,327.028843415,555.556155343,136.337054443,106.636610127,62.5581002829,292.367328925,309.215464532,430.506131063
2,209066.0,1351.35807894,1971.61616368,1134.33552606,156117853513.0,0,60904920163.9,26262650151.7,68950283197.1,6035.239756344258,0.00958587042205,0.238373608883,16.0316261965,0.129152147617,None,100,3.93419482521,11.8093413748,76.267754158,883.139377114,92.0794491782,200.162559224,404.745008355,422.236402155,232.66882941,477.639722124
2,209066.0,1137.09659896,1971.40886943,860.698985282,287972366098.0,2,57228766571.6,94416303998.8,136327295528.0,6035.239756344258,0.00958591527214,0.238371852648,16.0316239449,0.121360185414,None,100,3.97113317676,108.642257908,92.7527239545,843.856262602,202.268691239,878.881690593,71.5936643213,258.970978426,843.840310893,5.82868739465
2,209066.0,1131.88577337,1984.71718381,858.409962029,247981637349.0,0,57580441363.4,74199119134.4,116202076851.0,6035.239756344258,0.00958597166356,0.238371919498,16.0316239553,0.122105377671,None,100,4.24183590699,85.6207140671,242.776632979,402.367676935,281.770985799,515.315853588,321.900430122,181.852505547,384.587191526,119.13870639
2,209066.0,1146.43659827,1994.96692218,941.479252856,227683685260.0,0,58281341261.7,63671409662.1,105730934336.0,6035.239756344258,0.00958596091016,0.238372826355,16.0316232417,0.123591408638,None,100,4.28949603157,71.5492575039,275.885818741,452.128176045,47.2223386032,626.295204351,412.665945482,180.040401882,346.800531376,268.181522913
2,209066.0,1335.03909042,2041.32722587,1003.49724155,156043948368.0,1,59422249472.2,26265846291.8,70355852604.5,6035.239756344258,0.00958583573506,0.238372166137,16.0316243009,0.126006731502,None,100,4.14221906342,15.1424570472,180.606534121,917.029714562,101.741224659,518.820532676,456.61607761,527.112104325,193.818840554,31.7740561713
2,209066.0,1219.50919386,1983.92918174,1050.61146112,193660089811.0,0,59165890351.1,45819702274.3,88674497185.4,6035.239756344258,0.00958587706858,0.238371783565,16.031623081,0.12546310625,None,100,4.32890980208,46.043353998,305.014819969,884.508903505,68.1915409627,270.896170222,137.212231987,555.213987735,453.364030136,284.794338889
2,209066.0,1154.70061736,1982.22977579,925.401390163,306852054506.0,0,58080754017.3,103373402346.0,145397898143.0,6035.239756344258,0.00958581991269,0.238373376919,16.0316273482,0.123165232758,None,100,3.92796466144,129.634872028,73.5146228236,625.973607348,242.239707626,322.643747444,446.833766696,912.173013467,345.375528555,228.160151137
2,209066.0,1122.00467057,2028.05531745,946.365063179,327300033614.0,1,58926610451.9,112394833304.0,155978589858.0,6035.239756344258,0.00958577134488,0.238371921135,16.0316252628,0.124955224051,None,100,4.49225156458,148.881067966,446.498316887,586.992028613,102.391732776,741.422524432,488.731032831,989.124433641,575.933273608,36.2692349757
2,209066.0,1195.20695674,1990.9950391,909.930018788,330475344805.0,1,59779734872.7,114078584729.0,156617025204.0,6035.239756344258,0.00958589298779,0.238371757222,16.0316229167,0.126760586948,None,100,4.3998248068,147.710553648,362.14220779,459.475222067,66.4473669819,781.13284355,111.269388732,502.106684455,719.320761418,392.943867903
2,209066.0,1335.49336712,2075.16406357,854.015225167,235522986881.0,2,58654459413.6,67517090710.2,109351436757.0,6035.239756344258,0.00958581574618,0.238371816794,16.0316244429,0.124377947964,None,100,3.97634438251,69.1849264658,95.1578027844,266.658164045,276.787227704,345.053639273,250.402491956,310.191558843,991.701533037,335.563470275
2,209066.0,1122.75186113,1970.1929985,856.518021108,319741454019.0,0,58642130628.1,108951609548.0,152147713843.0,6035.239756344258,0.00958588400223,0.238372150736,16.0316238301,0.124349947227,None,100,4.27429083166,144.607814266,265.000245585,254.764660099,105.777907646,150.600042577,122.296168412,527.577636575,176.5282566,112.905798894
2,209066.0,1192.23335229,1975.8178574,898.866789885,200517809141.0,0,58905060215.4,49494758111.1,92117990814.7,6035.239756344258,0.00958582339896,0.238371847642,16.0316250619,0.124908252328,None,100,4.14853759354,53.5295695633,184.371786049,379.720640503,96.3820739577,92.2379797491,149.440774692,443.53432273,14.2938281038,279.367349573
2,209066.0,1156.09056627,2007.8126637,856.268777769,213193500502.0,0,59366135010.2,56091514240.8,97735851251.0,6035.239756344258,0.00958584379335,0.238373968611,16.0316234,0.125888381467,None,100,4.07630064159,61.2244552366,144.248363397,423.387746256,265.335720216,491.461670643,187.475842223,372.120306653,188.685129043,429.835200157
2,209066.0,1436.67009811,1987.80169101,1161.22661515,289038796096.0,3,58737957653.3,94958999796.8,135341838646.0,6035.239756344258,0.00958583139723,0.238372257555,16.0316255154,0.124553404464,None,100,4.018959917,104.924202277,115.280305107,217.687378819,45.2832562312,987.803366082,226.580299459,275.913324899,998.877617961,491.783850949
2,209066.0,1125.27320247,2059.36334529,1096.8366635,177197669034.0,1,59173503388.0,37269679523.3,80754486123.0,6035.239756344258,0.00958582295185,0.238371749496,16.031623453,0.125477517601,None,100,4.09676546536,35.4250806748,155.207827114,147.869255884,83.6238357684,770.626225573,388.130688063,366.48941459,210.642725838,172.501682704
2,209066.0,1171.35488003,2016.6709131,933.87793114,192296058150.0,2,59918293621.7,44871692242.1,87506072286.2,6035.239756344258,0.0095858666954,0.238371779057,16.0316229519,0.127055051097,None,100,4.37888798565,37.30475537,344.599726293,792.470889464,89.9981178435,521.337153596,365.886659732,570.336478974,951.781951834,393.794497639
2,209066.0,1161.36477453,1970.28201125,893.458918756,271214379781.0,0,57253165915.3,86030893154.0,127930320711.0,6035.239756344258,0.00958591324932,0.238371967134,16.0316298126,0.121412543162,None,100,4.41125107255,100.202069437,371.949655903,309.75385434,186.571754728,555.353601285,62.2753195184,87.181237422,588.259681365,56.9467423557
2,209066.0,1272.30296955,1987.10260267,1097.89608995,299892825316.0,0,57641640180.0,100069076957.0,142182108179.0,6035.239756344258,0.00958585620525,0.238372018578,16.0316247406,0.122228788412,None,100,4.13732644819,125.000472353,177.857590063,733.215318529,101.067680501,100.477264406,388.327805127,383.741519469,130.285879532,129.893674259
2,209066.0,1128.76629805,2031.51568244,1061.80983536,340977994554.0,1,61925388794.7,116427814079.0,162624791679.0,6035.239756344258,0.0095858366356,0.238373855897,16.0316264099,0.131314865883,None,100,4.07258626333,173.963094736,142.335028972,371.171496024,199.56672271,994.510074044,71.5466320337,476.471198438,509.873543121,177.769985838
2,209066.0,1140.70044117,2018.92112748,1001.72361348,341553875201.0,1,62452768305.5,116285980611.0,162815126285.0,6035.239756344258,0.00958579173682,0.238372183171,16.0316227803,0.132428257082,None,100,4.32690818026,176.956066591,303.476200317,353.420645409,46.0346491914,883.088065954,66.1000777381,415.524965771,471.737649737,227.138439787
2,209066.0,1194.7460767,2124.30208064,952.261623819,313653709226.0,1,58057330166.3,106799851849.0,148796527211.0,6035.239756344258,0.009585886925,0.238372509133,16.0316234887,0.123113037739,None,100,4.24727842431,129.021277073,246.302154003,438.804443774,214.330086797,98.3348290263,475.830835614,814.452172484,854.435321894,230.736212069
2,209066.0,1129.15015583,2060.78211848,1065.42531657,280246089829.0,1,58410047899.3,90555766070.5,131280275860.0,6035.239756344258,0.00958587095924,0.238372169132,16.0316226565,0.123859244917,None,100,4.27030884704,108.111572483,262.118479054,103.139162505,279.022396682,715.30824693,473.650547943,570.985151662,112.587301011,422.168500661
2,209066.0,1134.03439148,1977.77215347,858.913618088,226047636160.0,1,59351145245.1,62662164111.8,104034326803.0,6035.239756344258,0.00958583810303,0.238372584491,16.03162306,0.125852065267,None,100,4.26869237737,65.5518702611,261.000460385,719.777035485,273.334358812,834.760857251,318.182146593,408.62965442,720.781340301,451.191021394
2,209066.0,1142.68005292,1971.61860194,878.549928851,340941218043.0,1,60309742631.9,117856845932.0,162774629479.0,6035.239756344258,0.00958588372462,0.238373813604,16.0316250246,0.12789038631,None,100,4.04219540295,162.610336741,126.752350967,622.227551442,190.434349187,764.47526774,19.8015132707,733.177636985,818.992019651,78.1781805779
2,209066.0,1151.2364109,1976.30774641,930.157870101,319440623758.0,3,58271838283.3,109577200742.0,151591584733.0,6035.239756344258,0.00958597426228,0.238373161219,16.0316312571,0.123570887308,None,100,4.40718703902,131.672563666,368.397942178,718.954743395,145.190821669,972.575337234,425.137705367,222.528554643,955.136123292,268.331511856
2,209066.0,1223.12636582,2007.29639515,1124.52205422,215154955941.0,0,59342517018.9,57047166474.9,98765272446.7,6035.239756344258,0.00958581159619,0.238371866827,16.0316235154,0.125837338192,None,100,4.31714710085,60.4768954684,296.028703273,796.03215694,31.2005772249,130.045095795,345.065332848,788.890372206,506.119076369,428.174773474
2,209066.0,1241.22328422,2050.14175652,896.42351292,292836455956.0,0,57344625517.5,96806774078.7,138685056359.0,6035.239756344258,0.0095858836282,0.238371787891,16.0316239079,0.121598851016,None,100,4.54023488422,113.303344127,495.349435398,270.946031779,64.613980625,285.913363791,348.957247625,851.506581794,803.488064117,115.938683096
2,209066.0,1156.39322367,1976.29800584,946.519013806,333363450753.0,0,60244660392.5,114531433835.0,158587356526.0,6035.239756344258,0.0095858232458,0.238371879899,16.0316229001,0.127750833378,None,100,4.37699446201,158.388500362,343.039917699,728.722337601,218.746083313,315.770270566,165.18458755,902.495249108,443.522739748,257.559446234
2,209066.0,1130.8824547,1982.84524103,930.928911768,188478528820.0,0,58881212916.8,43169581887.2,86427734015.9,6035.239756344258,0.00958597389869,0.238371715475,16.0316233364,0.124865286344,None,100,4.37909824474,44.1732365808,344.802275225,429.8977305,100.454594943,64.1707164043,202.29952573,140.498428418,285.77633186,161.480399318
2,209066.0,1346.86771217,2002.15699844,1137.01820698,157586806000.0,1,60494003228.5,27027190266.4,70065612505.6,6035.239756344258,0.0095858568663,0.238371853464,16.0316228956,0.128280269672,None,100,4.26839874676,14.3744574613,260.7729784,938.580828435,219.540458491,202.459330962,50.912038665,887.752033186,214.635165223,408.101617803
2,209066.0,1130.7071274,2004.20395098,923.026208594,302706600917.0,0,57636305731.1,101498035077.0,143572260108.0,6035.239756344258,0.00958596501854,0.23837189773,16.0316228336,0.12222458418,None,100,4.28758199664,124.325745237,274.405805405,539.657797897,274.415576845,198.696963099,159.423877647,133.757120341,565.415305042,121.330114517
2,209066.0,1146.2442584,1983.40717725,850.642580052,192133561615.0,0,59252436143.3,45032929407.6,87848196063.7,6035.239756344258,0.00958583207473,0.23837218098,16.0316227457,0.125641346448,None,100,4.42577376729,45.3066046071,384.617076867,656.452719447,295.637240437,642.21017094,265.805230637,439.683499726,412.800415569,285.175179243
