Angle,AverageAngleError,BattCap,BattX,BattZ,bomCost,CompX,CompZ,CtrlGain_D,CtrlGain_P,Dist_1_2,Dist_1_3,Dist_2_3,GyroSize,GyroX,GyroZ,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels
167.781924133,0.0041836287276,112.962677779,462.059469193,271.932923357,249066.0,731.89632644,435.288288936,2.16925023991,1.05357464882,906.640449678,2015.65018314,1206.93716052,3.5569554118,835.706191745,21.562325705,425804466560.0,2,67606105725.3,154163155917.0,204035204918.0,6525.486389342852,0.14394871046,38.0279702087,0.160269129893,0,100,4.68269478362,4
166.73515276,0.0054487041257,270.340491645,764.050290738,99.8557069751,249066.0,856.954536671,230.220030058,1.52830428383,1.57549944289,864.94280484,1988.84048007,1141.52795866,1.08048674347,583.865892073,227.21214721,421587438696.0,1,67814864290.9,152144028683.0,201628545722.0,6525.486389342852,0.135242037721,38.0279694035,0.0766929229874,0,100,4.78324303719,4
169.001283429,0.00644621695033,92.3629622345,227.499984541,266.362689992,249066.0,412.990254816,137.363900044,0.966322750103,0.314170396696,879.515393938,2001.94745324,1196.62616751,6.81106529309,615.599239254,430.354010699,424124159266.0,0,68959196289.8,153217801796.0,201947161180.0,6525.486389342852,0.135284827987,38.0279694205,0.0466014818927,0,100,4.66904980058,4
163.742101812,0.0108111086657,310.419255223,274.026560357,282.536059907,249066.0,219.816561142,397.838910664,2.35844098403,2.05567877931,859.496056656,2033.24576935,1199.03573215,4.72507616648,700.948263835,250.527528794,422255933273.0,0,67696722839.9,152729099460.0,201830110973.0,6525.486389342852,0.264766455123,38.0279685884,0.191565975796,0,100,4.812749108,4
159.827622272,0.00405930754808,129.295263463,970.804770163,29.4614914689,249066.0,735.93992272,234.034831553,1.16340476013,0.592254740428,905.268881624,1986.47684285,1121.48157382,5.06598510835,920.5396879,57.6455634909,425061242910.0,4,66902128024.8,154448987571.0,203710127314.0,6525.486389342852,0.07249437157,38.0279693513,0.0302027484771,0,100,4.69152294404,4
156.227466684,0.00455671928464,364.455229389,258.209964491,26.6507766072,249066.0,121.314006982,387.025850226,0.4253952882,1.36710549045,933.333111417,2026.42285524,1202.26774548,5.94835037384,590.064692302,311.115486972,416700427605.0,0,67276555160.6,150549346675.0,198874525770.0,6525.486389342852,0.0923158711261,38.0279689863,0.0710750498123,0,100,4.8528663718,4
169.347725762,0.00463622385031,286.121816692,744.040271704,258.064464529,249066.0,180.723263479,187.077595205,1.77511613601,0.682299468207,1022.18647387,2131.98181843,1151.96054068,1.72056819168,995.443896194,161.062892973,430707374265.0,2,67898745717.0,156479309931.0,206329318616.0,6525.486389342852,0.114821799811,38.0279688935,0.0990453750338,0,100,4.80180726107,4
169.935555242,0.0065036621175,388.871616555,203.889083745,136.507636702,249066.0,200.892744309,189.987387202,1.43190834623,0.369963196936,851.686011253,2077.34758049,1309.29210592,9.74815134057,812.939556528,434.67426834,428129184487.0,0,69035375635.0,155138932146.0,203954876706.0,6525.486389342852,0.112432055994,38.0279682127,0.0528864834241,0,100,4.87767931778,4
155.001598847,0.00811046023543,319.012521142,69.0542343655,154.692380114,249066.0,256.322027095,484.240872279,1.18763602722,1.88141735965,930.683316108,1976.94024959,1161.97725533,5.35068676331,92.1405651097,463.331592188,412920412838.0,0,68016646590.7,148752510595.0,196151255652.0,6525.486389342852,0.180135131014,38.0279684559,0.0547553910606,0,100,4.81622382693,4
173.746711625,0.0127246742433,119.718170002,564.22293052,285.996016561,249066.0,307.540800416,471.187814616,0.620225299284,2.29591888775,907.018036194,2012.07560723,1194.43387524,6.68846990087,207.178548886,74.3557749724,418247610501.0,0,68175591684.6,149859276702.0,200212742114.0,6525.486389342852,0.23649347575,38.0279691267,0.0964378161249,0,100,4.68318595404,4
