Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,Angle,BattX,BattZ,CompX,CompZ,GyroX,GyroZ
1239.46529634,977.401386373,1999.99743016,376022873059.0,0,63945871353.2,132326230134.0,179750771571.0,6277.425472843556,162.893330177,57.9041044433,292.729227571,380.391421107,-286.604045872,518.68191864,28.9906699426
1301.87603165,1117.50129229,1995.29341024,379096618893.0,1,63748900771.0,134051026626.0,181296691496.0,6277.425472843556,160.881607668,161.13934096,285.721869521,794.816823239,-310.030025625,760.61228115,0.91773373753
1154.18187708,1177.41779844,2125.39545971,372289943497.0,1,63886981572.5,130511783564.0,177891178361.0,6277.425472843556,162.341774134,-474.455799541,288.981383849,732.923892285,-397.257065855,-459.478705401,10.169968408
1143.27663181,1320.64331984,2214.31597517,377234563305.0,1,65687320645.7,131165479063.0,180381763596.0,6277.425472843556,179.758593053,-683.580927952,235.236407063,960.800505329,-278.984343363,-995.028434677,5.71199258465
1247.08154324,893.226830661,2063.14314813,378163030025.0,0,64399817555.8,132905370951.0,180857841518.0,6277.425472843556,167.917580681,-189.977257694,179.5248479,-545.105819134,-302.967742326,525.39909869,22.145806779
1483.83776321,915.837053844,2204.46946053,385111787223.0,2,64176515134.2,136626768105.0,184308503984.0,6277.425472843556,165.428854255,-426.420559914,270.430229807,-492.41804243,-234.872022972,937.848725694,10.0184880338
1142.11600625,903.13563308,1995.0,374777592094.0,0,64465901223.1,131154504603.0,179157186268.0,6277.425472843556,168.492706113,-40.5115628018,223.671571146,-338.568413442,-206.830488147,-262.79058592,-39.7947803748
1203.83431947,1056.10749719,2001.17713778,374822382191.0,0,63924360326.2,131699625313.0,179198396552.0,6277.425472843556,163.171322593,-142.011762821,151.782594983,571.576844765,-249.554427161,414.4624381,-20.091495696
1261.53967398,1182.36116547,2006.89916829,373104422049.0,0,63870173702.3,130955718933.0,178278529413.0,6277.425472843556,161.950276731,737.400717384,297.645943365,-251.975493376,-352.96309622,212.54548991,49.4336567492
1157.02843948,1218.33350708,2097.36305894,375552374599.0,1,64453143970.9,131588668619.0,179510562009.0,6277.425472843556,168.03039512,86.818258508,289.37735714,883.669737543,-352.918146767,237.760085137,41.3221722501
1171.74806615,1029.76368648,2006.44967507,377800523677.0,0,65558533193.3,131556614077.0,180685376407.0,6277.425472843556,178.809869088,518.605735876,160.736867906,-813.773296379,-380.935577688,214.045085378,-31.2991481083
1162.93867198,916.700587712,2055.00334474,374292217121.0,0,64302524348.8,131071765742.0,178917927030.0,6277.425472843556,166.901046171,280.960691231,174.141749816,491.649130595,-220.13728036,-820.832379289,35.9844309129
1156.8683333,924.228852186,1995.01557152,377057369479.0,0,65605853398.0,131179339478.0,180272176603.0,6277.425472843556,178.860068629,-491.271176568,297.613795402,-488.272269862,-290.325137868,-434.779845606,7.88229799734
1170.9423046,891.137272254,2016.98543443,378105550227.0,0,65533494815.6,131736115272.0,180835940139.0,6277.425472843556,178.571743919,-963.66051,168.821319745,-95.1292987301,-382.331748506,296.99367452,-17.7674844969
1131.71838323,1016.18225937,2054.41959817,372461235494.0,0,63905169023.1,130540739800.0,178015326670.0,6277.425472843556,162.942670406,-295.987053372,162.439216127,490.525111824,-299.826164644,-420.286224472,-15.6781901837
1141.70340564,1213.94511978,2148.8193742,377253388111.0,1,65738547998.1,131151787352.0,180363052761.0,6277.425472843556,179.960124767,-548.718037191,270.191731894,796.890319847,-273.93775434,-446.995358615,48.6366226192
1153.24683062,952.740634322,2011.23030035,373866784686.0,0,64231866055.4,130950455825.0,178684462805.0,6277.425472843556,165.977497406,-158.008400168,277.623360912,254.980363489,-336.274149259,-497.735314033,2.70836980325
1166.30215998,895.833327502,2015.13508876,377917497461.0,0,65431257800.2,131757716191.0,180728523470.0,6277.425472843556,177.54505641,-405.516686214,192.073815662,-32.7517250127,-399.442262487,282.497250441,30.655006776
1317.95636966,904.318887346,2100.11103095,380934664559.0,0,64633639146.0,134066703620.0,182234321793.0,6277.425472843556,170.116751906,-641.119447137,228.402386174,-229.90962872,-220.957239388,656.080286478,-37.8246148803
1134.94074123,990.754408778,2038.28486813,372460517294.0,0,63916167549.1,130543999744.0,178000350000.0,6277.425472843556,162.904449354,-462.210010791,204.521140411,417.301331938,-369.403919616,-322.556924221,20.9714574721
1153.77034704,960.804992342,2041.78351171,377334092954.0,0,64473139745.5,132432810809.0,180428142399.0,6277.425472843556,168.49215632,310.17718556,247.611281786,-700.659455403,-157.926315033,434.574399495,-25.380419452
1154.48435371,918.726903361,1995.0,376450300370.0,0,65119134004.4,131355627950.0,179975538416.0,6277.425472843556,174.540144864,-321.077356622,280.060927227,-448.382829214,-258.313315287,-272.332895749,-17.265848033
