AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MaxTemperature,MinBatteryCharge,MinBusVoltage,PV_Panels,bomCost,BattCap,GyroSize
0.085115261,1.756797587,16.03162337,7.539455535,None,100,4.316683588,2,209066,280.0374323,715.4654562
0.085115209,1.756797091,16.03162318,4.274907345,None,100,3.958383255,2,209066,80.17290753,406.0051733
0.085115201,1.756796054,16.03162427,2.411975618,None,100,4.361163137,2,209066,311.7769411,229.0770418
0.085115215,1.756795834,16.03162295,2.052710016,None,100,4.432598326,2,209066,369.1325013,194.9543451
0.085115225,1.756795723,16.03162394,10.42504656,None,100,4.404519743,2,209066,348.7445701,990.1086195
0.08511528,1.756798894,16.03162408,4.68736483,None,100,4.535500711,2,209066,464.2938143,445.2025255
0.0851152,1.756797082,16.03162465,7.941475919,None,100,4.37468939,2,209066,323.898731,754.2303425
0.085115362,1.756795502,16.03162271,4.395196404,None,100,4.253628197,2,209066,236.0193509,417.3933049
0.085115265,1.756799556,16.0316228,3.442954674,None,100,4.14317979,2,209066,169.0875469,326.965598
0.085115236,1.756804813,16.03162257,7.432295654,None,100,4.551913722,2,209066,482.3459781,705.9591881
0.085115334,1.756801338,16.03162361,5.170554286,None,100,4.455632096,2,209066,390.1834587,490.6396557
0.085115253,1.756795119,16.03162269,4.69366007,None,100,4.153118673,2,209066,174.7911907,445.7678291
0.085115349,1.756795659,16.03162276,7.75606878,None,100,4.252289991,2,209066,235.7324057,736.6290387
0.085115221,1.756796061,16.03162295,3.250977699,None,100,4.429204432,2,209066,366.6844316,308.7407192
0.085115245,1.756794898,16.03162287,9.773500657,None,100,4.291830553,2,209066,262.9827564,927.5945239
0.085115261,1.756795999,16.03162417,3.367684474,None,100,4.501537674,2,209066,431.0241727,319.8430101
0.085115241,1.756796412,16.03162363,0.64847666,None,100,4.36726815,2,209066,316.0007877,61.59034103
0.085115255,1.756799775,16.03162293,4.379109986,None,100,4.406687652,2,209066,348.3630534,415.8535331
0.085115303,1.756797031,16.03162319,2.694516476,None,100,4.217372289,2,209066,212.5881613,256.280342
0.085115166,1.756795375,16.03162349,0.784826204,None,100,4.263338682,2,209066,241.7713121,74.53802233
0.085115257,1.756795635,16.03162304,5.294246666,None,100,3.971530988,2,209066,85.72982823,502.9922572
0.085115173,1.756797123,16.03162394,2.220262667,None,100,4.495448291,2,209066,424.867827,209.0666781
0.085115223,1.756796249,16.03162313,2.947570188,None,100,4.434126841,2,209066,370.7352302,279.9493655
0.085115221,1.756795935,16.03162333,6.376286974,None,100,4.355948073,2,209066,308.8412643,605.579453
0.085115206,1.756796251,16.03162378,8.737489034,None,100,4.387997337,2,209066,334.7192454,829.831889
0.085115197,1.756796716,16.03162274,7.265464483,None,100,4.248272099,2,209066,233.0350942,690.031785
0.085115273,1.756798657,16.0316226,7.723613802,None,100,4.042114155,2,209066,117.5234488,733.5622695
0.085115184,1.756796735,16.03162333,9.166532305,None,100,4.499138843,2,209066,431.6450048,870.5726994
0.085115246,1.756799811,16.0316226,3.477062262,None,100,4.213373732,2,209066,210.2211145,329.9603178
0.085115228,1.756795781,27.02979528,1.532445629,None,100,4.341535111,3,235066,205.3644293,145.5810686
0.085115175,1.75679723,27.02979673,4.300234664,None,100,4.611061015,3,235066,449.9694846,408.4174257
0.085115308,1.756796121,27.02979523,7.98448151,None,100,4.618159897,3,235066,457.7883536,757.6861392
0.085115253,1.756796185,27.02979694,9.013411032,None,100,4.354670273,3,235066,217.4623415,856.0376423
0.085115269,1.756796794,27.02979714,1.697445801,None,100,4.505778838,3,235066,350.3082471,161.1942924
0.085115256,1.756796019,27.02979481,4.663969457,None,100,4.347465297,3,235066,210.7801937,442.9556965
0.085115228,1.756798184,27.02979739,4.173218304,None,100,4.618237768,3,235066,456.9424528,396.4427382
0.085115274,1.756795516,27.02979518,9.634030027,None,100,4.451215537,3,235066,302.312653,914.9853439
0.085115248,1.756795817,27.02979622,1.814152884,None,100,4.653756417,3,235066,491.4786801,172.2991992
0.085115184,1.756796936,27.02979484,2.441622379,None,100,4.271169369,3,235066,141.3254703,231.8646115
0.085115228,1.75679698,27.02979505,4.859172588,None,100,4.267444896,3,235066,137.7951825,461.562462
0.085115221,1.756800115,27.02979581,7.923257306,None,100,4.368493907,3,235066,229.4242219,752.4989779
