Angle,Mass,MinBatteryCharge,CtrlGain_D,Iyy,bomCost,Izz,CtrlGain_P,MaxBusVoltage,PV_Panels,CompZ,Dist_2_3,CompX,GyroSize,BattX,Dist_1_2,Dist_1_3,MinBusVoltage,GyroZ,Ixx,BattZ,GyroX,InertialTensor,MaxTemperature,MaxGyroCurrent,AverageAngleError,BattCap,MaxAngularError,Interference
168.488156238,6277.425472843556,100,2.02833335451,136211542007.0,235066.0,183265696372.0,1.1247490775,27.0297963956,3,120.459401403,1185.5850584,838.224123733,5.25338066167,512.25600419,910.805770125,1986.25092737,4.76192336939,368.506307279,65269537818.3,91.9649118487,785.636302158,384746776197.0,0,0.132241078872,0.00371863642212,311.282543352,0.127464718034,1
162.372820513,6277.425472843556,100,0.686395195762,130577505811.0,235066.0,177904264589.0,2.84932298803,27.0297968535,3,95.8262302916,1166.15913818,871.489007471,4.12950064828,322.333702604,1018.2843764,2135.62771088,4.80895319094,33.1725952489,63802916400.3,209.102540106,49.2480199788,372284686800.0,0,0.122810271746,0.0178785322929,387.789951632,0.347362780491,1
174.915532679,6277.425472843556,100,1.57186906394,137971976485.0,235066.0,186425906974.0,1.05086744336,27.0297960927,3,219.475392875,1126.62506368,916.219258593,8.67565588847,870.616766431,861.278719365,1971.57155286,4.59688366417,160.812092972,65221331630.4,88.2448890324,968.68834757,389619215090.0,0,0.0732658302801,0.00205840236776,74.8017070853,0.0693517155347,3
165.220350997,6277.425472843556,100,0.997884587721,131744897058.0,235066.0,178836890071.0,1.78716001946,27.0297966072,3,172.955625471,1207.9962423,264.984635039,8.92824482523,632.117033355,929.488131304,1974.39801939,4.75570290916,273.498018558,64582347124.4,254.576629764,179.903696039,375164134254.0,0,0.0506529182801,0.00744883585755,311.013774687,0.15352675944,0
172.948150377,6277.425472843556,100,0.276870669086,132435848628.0,235066.0,180401875959.0,2.60108238214,27.0297965562,3,27.4755662931,1149.46217179,97.7311018528,5.56485937318,464.118277622,926.357359643,1994.00288918,4.81179886351,262.55986541,65285197031.9,64.8706889174,297.438123213,378122921619.0,0,0.117938954244,0.0160454778578,388.932798234,0.281204023461,0
177.104297324,6277.425472843556,100,1.51670072442,134933976676.0,235066.0,183138969400.0,2.05332292969,27.0297961953,3,356.753672471,1297.58616634,762.551120574,6.39027809853,25.6857087193,1132.25221213,1972.53194935,4.71214385784,306.443953079,65952539919.0,228.206262188,676.230651672,384025485995.0,0,0.0783884029982,0.00943901990032,248.020581066,0.227906420086,1
165.097130096,6277.425472843556,100,0.614738239501,132855790865.0,235066.0,178905103933.0,0.30955744427,27.0297960709,3,233.242837099,1234.97515754,949.019000034,7.98464016131,658.393864913,898.712801974,2126.66720738,4.61455311841,480.322639466,65601047962.4,260.107893746,186.939619505,377361942760.0,0,0.0570438734012,0.00624181171488,96.6642821937,0.151385411556,1
163.22983309,6277.425472843556,100,1.84921940392,135277290867.0,235066.0,181983599125.0,2.9999691181,27.0297975185,3,164.630892229,1302.55158565,51.5884642744,2.45361222672,135.610246906,854.154019488,2107.15995065,4.81179190316,328.288453617,64585205930.6,169.038731843,781.272820853,381846095922.0,0,0.129588273624,0.0178965570003,396.560707951,0.427065558727,0
172.60254875,6277.425472843556,100,2.43518649689,133145979682.0,235066.0,181472769196.0,1.03295350899,27.0297956636,3,279.089693507,1150.56332562,295.885750422,8.91006100433,522.002570663,879.561860015,1998.35938148,4.72001210973,16.7117797778,64850879412.3,279.588890097,504.926530968,379469628290.0,0,0.181729265296,0.00511718964848,246.786273823,0.178467649014,0
162.380449612,6277.425472843556,100,2.10060908453,131449720245.0,235066.0,178422329415.0,1.81636396586,27.0297975097,3,156.159804018,1142.38637252,627.8630163,5.54341245605,350.048236159,903.75239722,2000.24867237,4.65198685632,242.97132473,64158498743.5,25.4412383253,292.365607676,374030548403.0,0,0.146658194991,0.00847737869688,156.627996958,0.206908806576,0
170.245580461,6277.425472843556,100,1.75317302982,132510706625.0,235066.0,179739880450.0,0.503492452724,27.0297956885,3,366.29997183,1398.54145085,113.187378643,8.52149644927,871.997698514,1164.28243144,1970.49303588,4.64738676191,365.545757935,65454363353.9,127.008353469,69.116576294,377704950428.0,0,0.090502845371,0.00610380602681,141.685872867,0.12184366186,0
175.490033424,6277.425472843556,100,2.72262570823,135278403146.0,235066.0,182524035376.0,0.609396758622,27.029795179,3,377.359900418,1180.89330959,57.5091373932,7.03009432071,407.522824661,946.380092824,2049.2320215,4.59510286641,463.796168869,66555148946.9,152.358347492,615.165527515,384357587469.0,0,0.219020427471,0.00762408390466,59.9419607475,0.237814798104,0
153.578719874,6277.425472843556,100,2.08261624869,130361519375.0,235066.0,175376187939.0,2.19139228675,27.0297957466,3,176.869145921,1202.13122421,310.914002035,2.91356715271,184.06648894,868.621163806,1997.25124181,4.56982109905,487.074944613,64559151308.8,50.724646897,201.896180769,370296858623.0,0,0.149506701146,0.0112648857645,36.0760283576,0.279342432731,0
