PV_Panels,bomCost,Dist_1_2,Dist_1_3,Dist_2_3,InertialTensor,Interference,Ixx,Iyy,Izz,Mass,AverageAngleError,MaxAngularError,MaxBusVoltage,MaxGyroCurrent,MinBusVoltage,Angle,BattCap,BattX,BattZ,CompX,CompZ,GyroSize,GyroX,GyroZ
2,209066,1180.70238,1999.343892,901.9912829,1.84713E+11,1,59404333437,41128130267,84180103922,6035.239756,0.009585824,0.238371844,16.03162264,0.125966994,4.458505208,38.96794182,414.272554,827.1836573,299.9225736,691.8245646,30.17048304,438.6265645,454.2917358,275.229975
2,209066,1183.899988,2014.280007,964.0913298,2.49872E+11,0,58613502343,75149791347,1.16108E+11,6035.239756,0.009585957,0.238371921,16.0316227,0.124293309,4.357146366,85.87810516,327.0288434,555.5561553,136.3370544,106.6366101,62.55810028,292.3673289,309.2154645,430.5061311
2,209066,1351.358079,1971.616164,1134.335526,1.56118E+11,0,60904920164,26262650152,68950283197,6035.239756,0.00958587,0.238373609,16.0316262,0.129152148,3.934194825,11.80934137,76.26775416,883.1393771,92.07944918,200.1625592,404.7450084,422.2364022,232.6688294,477.6397221
2,209066,1137.096599,1971.408869,860.6989853,2.87972E+11,2,57228766572,94416303999,1.36327E+11,6035.239756,0.009585915,0.238371853,16.03162394,0.121360185,3.971133177,108.6422579,92.75272395,843.8562626,202.2686912,878.8816906,71.59366432,258.9709784,843.8403109,5.828687395
2,209066,1131.885773,1984.717184,858.409962,2.47982E+11,0,57580441363,74199119134,1.16202E+11,6035.239756,0.009585972,0.238371919,16.03162396,0.122105378,4.241835907,85.62071407,242.776633,402.3676769,281.7709858,515.3158536,321.9004301,181.8525055,384.5871915,119.1387064
2,209066,1146.436598,1994.966922,941.4792529,2.27684E+11,0,58281341262,63671409662,1.05731E+11,6035.239756,0.009585961,0.238372826,16.03162324,0.123591409,4.289496032,71.5492575,275.8858187,452.128176,47.2223386,626.2952044,412.6659455,180.0404019,346.8005314,268.1815229
2,209066,1335.03909,2041.327226,1003.497242,1.56044E+11,1,59422249472,26265846292,70355852605,6035.239756,0.009585836,0.238372166,16.0316243,0.126006732,4.142219063,15.14245705,180.6065341,917.0297146,101.7412247,518.8205327,456.6160776,527.1121043,193.8188406,31.77405617
2,209066,1219.509194,1983.929182,1050.611461,1.9366E+11,0,59165890351,45819702274,88674497185,6035.239756,0.009585877,0.238371784,16.03162308,0.125463106,4.328909802,46.043354,305.01482,884.5089035,68.19154096,270.8961702,137.212232,555.2139877,453.3640301,284.7943389
2,209066,1154.700617,1982.229776,925.4013902,3.06852E+11,0,58080754017,1.03373E+11,1.45398E+11,6035.239756,0.00958582,0.238373377,16.03162735,0.123165233,3.927964661,129.634872,73.51462282,625.9736073,242.2397076,322.6437474,446.8337667,912.1730135,345.3755286,228.1601511
2,209066,1122.004671,2028.055317,946.3650632,3.273E+11,1,58926610452,1.12395E+11,1.55979E+11,6035.239756,0.009585771,0.238371921,16.03162526,0.124955224,4.492251565,148.881068,446.4983169,586.9920286,102.3917328,741.4225244,488.7310328,989.1244336,575.9332736,36.26923498
2,209066,1195.206957,1990.995039,909.9300188,3.30475E+11,1,59779734873,1.14079E+11,1.56617E+11,6035.239756,0.009585893,0.238371757,16.03162292,0.126760587,4.399824807,147.7105536,362.1422078,459.4752221,66.44736698,781.1328436,111.2693887,502.1066845,719.3207614,392.9438679
2,209066,1335.493367,2075.164064,854.0152252,2.35523E+11,2,58654459414,67517090710,1.09351E+11,6035.239756,0.009585816,0.238371817,16.03162444,0.124377948,3.976344383,69.18492647,95.15780278,266.658164,276.7872277,345.0536393,250.402492,310.1915588,991.701533,335.5634703
2,209066,1122.751861,1970.192999,856.5180211,3.19741E+11,0,58642130628,1.08952E+11,1.52148E+11,6035.239756,0.009585884,0.238372151,16.03162383,0.124349947,4.274290832,144.6078143,265.0002456,254.7646601,105.7779076,150.6000426,122.2961684,527.5776366,176.5282566,112.9057989
2,209066,1192.233352,1975.817857,898.8667899,2.00518E+11,0,58905060215,49494758111,92117990815,6035.239756,0.009585823,0.238371848,16.03162506,0.124908252,4.148537594,53.52956956,184.371786,379.7206405,96.38207396,92.23797975,149.4407747,443.5343227,14.2938281,279.3673496
